"","T0","T1","T2","T4","T5","T6","T7","T8"
"NDUFS5",43416,45434.6666666667,44792.6666666667,28398.6666666667,28659.3333333333,29388,30438.6666666667,34335.3333333333
"NDUFS6",57070.6666666667,63513.3333333333,67171.6666666667,40853,38273.3333333333,35381,36400.6666666667,34664
"NDUFS7",63261,63689.6666666667,62738,42427,44702.3333333333,51496.3333333333,47867,49734.6666666667
"NDUFS8",79142.6666666667,80806,82253,63153,61559.3333333333,59308,58475.3333333333,58235.6666666667
"NDUFV1",124455,126153.333333333,126983.333333333,102707.666666667,102879,89228.6666666667,94067,87122.3333333333
"NDUFV2",103509,111871,114882,59181,61870.6666666667,65051.6666666667,59061.6666666667,63431.6666666667
"NDUFV3",21073.7666666667,20774.4,21325.7,17555.3,17307.1666666667,16088.4,15246.3,14042.2
"NEB",11110.3333333333,8049.27666666667,9391.3,3504.5,4253.2,4544.26666666667,2795.59,4356.53333333333
"NEBL",22481.6666666667,20821.3333333333,22316.6666666667,11569.4333333333,11477,11972.1666666667,11292,11913.9333333333
"NECAP1",2385.35,2037.08,1688.87666666667,1186.62666666667,1033.59333333333,991.103333333333,1078.74,914.203333333333
"NECAP2",10964.1666666667,10479.6333333333,10304.6333333333,10565.7,11346.4,9743.76666666667,10881.2333333333,9619.7
"NEDD1",183.063333333333,158.603333333333,154.203333333333,171.453333333333,166.366666666667,211.243333333333,158.14,202.036666666667
"NEDD4",17034.7166666667,15863.1666666667,15737.4666666667,13409.0333333333,13824.85,12267.65,11463.8833333333,11038.6166666667
"NEDD4L",65156.6666666667,60505,55505.6666666667,42637,45097,46228.3333333333,49495.3333333333,46047
"NEDD8;NEDD8-MDP1",3921.46666666667,4090,4126.9,3097.56333333333,3365.1,3711.26666666667,3688.93333333333,3742.46666666667
"NEK7",10114.4333333333,9727.46666666667,10506.7333333333,11722.0666666667,13205.6666666667,9829.03333333333,11885,9124.36666666667
"NEK9",3525.76666666667,3424.83333333333,3388.53333333333,691.32,684.696666666667,1585.7,1356.62666666667,1755.48666666667
"NELFA",1239.73333333333,1229.76666666667,1035.76666666667,1408.26666666667,1670.13333333333,1345.8,1243.96666666667,1098.8
"NELFB",5254.53333333333,6030.36666666667,5849.1,3491.76666666667,3302.5,4158.13333333333,4543.66666666667,3901.1
"NELFCD;TH1L",12250.3666666667,12896.8666666667,10903.8666666667,10506.7666666667,11373.9666666667,10037.4333333333,11198.0333333333,8931.3
"NELFE",4036.73333333333,5389.56666666667,4402.83333333333,3797.56666666667,3695.63333333333,5032.2,5232.56666666667,4756.9
"NEMF",70851.6666666667,72081.6666666667,70005.6666666667,63044.3333333333,70183,60694,62870.6666666667,60213.6666666667
"NENF",38761.3333333333,39599.6666666667,34495.3333333333,54535,58147.6666666667,48718.6666666667,49420.3333333333,50809
"NEO1",892.86,1117.63,1264.29333333333,1164.6,1003.28666666667,1112.49,934.226666666667,1141.96666666667
"NEU1",12890.0333333333,13362.3,11924.3333333333,17932.6666666667,18848.6,14387.4666666667,16768.4,14063.8
"NEURL4",7419.23333333333,8018.23333333333,8190.4,5308.13333333333,5341.36666666667,5962.53333333333,5454.13333333333,5443.5
"NEXN",39753.3333333333,39863,39903.3333333333,54908.6666666667,72512.6666666667,96191.6666666667,117258,146846.666666667
"NF1",5073.83333333333,6480.4,4725.76666666667,3049.23333333333,2981.73333333333,4609.1,4723.76666666667,4411.06666666667
"NF2",16887.4,17232.1666666667,15972.5,15483.3333333333,17192.2333333333,19115.0666666667,21907.1,21458.7666666667
"NFAT5",1947.93333333333,2274.6,2053.43333333333,1228.96666666667,1037.63333333333,1263.26666666667,1280.73333333333,1287.26666666667
"NFATC2IP",544.266666666667,455.733333333333,542.09,903.533333333333,925.073333333333,329.886666666667,1033.84,849.766666666667
"NFIA",16544.3333333333,18740,17583,14598,14258.3333333333,11918.8333333333,15195.6666666667,12374.2
"NFIB",6050.73333333333,6399.5,6605.06666666667,5314.73333333333,4966.6,4431.3,4913.8,4393.43333333333
"NFIC",42451,43483,44108.3333333333,29384,29753,31357,32649.6666666667,30651.6666666667
"NFIL3",2833.44333333333,3303.84,3367.16,4060.29333333333,4019.41666666667,4103.33333333333,4299.3,3322.89333333333
"NFIX",643.366666666667,546.053333333333,444.833333333333,457.26,491.753333333333,369.243333333333,496.876666666667,544.406666666667
"NFKB1",18242,15599.6666666667,15691.3333333333,12692.8,14865.0333333333,13187.5333333333,11831.8333333333,12202.1333333333
"NFKB2",61178.3333333333,54513.3333333333,49047,38110.3333333333,44066,34534.6666666667,34922.3333333333,32968
"NFKBIB",5569.66666666667,4896.1,4330.4,4934.36666666667,5715.26666666667,3547.46666666667,3733.6,3618.66666666667
"NFKBIL1",3229.13666666667,3512.40666666667,3655.11,1821.73666666667,1481.17666666667,2306.17,2373.39,2378.51
